35 Sweep,
X,Y
0.632029330354975,0.1898742291069781
0.6348341669499344,0.18878259602777642
0.6393250133540523,0.18659156023891613
0.6440955664546205,0.1844024668576701
0.6508298936531831,0.18139367746321564
0.6609323556548341,0.17674161122711599
0.6671072694604963,0.17372893701743308
0.6749662506677025,0.1698946243869276
0.6819802845627154,0.16688777740008737
0.6895576166658572,0.16332928665080365
0.693768756373525,0.16113630845432914
0.7013460884766668,0.15757781770504536
0.7066779973777497,0.15511484485019178
0.7120099062788325,0.1526518719953382
0.7170621084834652,0.15018695673287036
0.7212713057835186,0.14827174282523184
0.7280056329820812,0.14526295343077744
0.7327781284902637,0.14279609576069535
0.7397941047928908,0.13951148448501915
0.7451260136939737,0.13704851163016554
0.7493352109940271,0.13513329772252702
0.7546651774874957,0.13294808915650946
0.7602806779002573,0.12993153013159808
0.7675763608993347,0.12664886126353614
0.774030981401447,0.12363812946146745
0.7790812411984654,0.12145097848783563
0.7844150925071626,0.11871024134414604
0.7897450590006312,0.11652503277812845
0.7981653960083523,0.11241684067401539
0.8029359491089205,0.11022774729276932
0.8079881513135531,0.10776283203030149
0.8144408294080512,0.10502986451706883
0.8197746807167483,0.10228912737337925
