Landing,,Takeoff,
X,Y,X,Y
0.04038864817393583,2.562787786452142,0.04063610206745302,1.647208380438527
0.04362156051218104,2.6010121349448565,0.04521739552351055,1.6964225930256815
0.04793405111135911,2.644796917986016,0.05006894744758587,1.7456804739469867
0.052243630488260494,2.6993532234508657,0.057887520075303615,1.8169617513913212
0.056557576698576896,2.7377522452801806,0.06543583423500357,1.8881993605015066
0.0606012644408755,2.7761075987753454,0.07244508706980626,1.9539638717315464
0.06545427197608916,2.8199797184848054,0.07999485684064453,2.0198157196298863
0.07030727951130283,2.8638518381942655,0.08754462661148282,2.0856675675282266
0.07489148418963701,2.9022945283577304,0.09428798781168274,2.135231126788582
0.079745947335989,2.9407808868553458,0.10076109054386484,2.1847510177147873
0.08325202936452869,2.9682773812585213,0.10777471021208251,2.234358245309293
0.08891581230379575,3.0122805059704314,0.11532884681633584,2.2840528095720987
0.0935014725932683,3.0453374349220517,0.12288443903172747,2.32836161262306
0.09862764981877642,3.0784817005419725,0.12882430288356564,2.350865360821741
0.10348356857626675,3.1115822978277428,0.13557203091718056,2.384271636446562
0.10753162315198034,3.1337803676873732,0.14367323470759194,2.4098176119243666
0.11373883424955966,3.167099306643894,0.15258594170762593,2.4328017117986986
0.11967724249025954,3.19498881605442,0.1617681793701085,2.4585223606131033
0.12642497052387444,3.2283950916792414,0.170412083513263,2.476077030941441
0.13398492957268107,3.256546611094668,0.17689537552341347,2.4878965933847326
0.13938427648848367,3.278963022625049,0.18310840906554612,2.4996724874938745
0.14613346013323691,3.3069835370380254,0.19121325188380336,2.5117540599420667
0.15153280704903951,3.3293999485684065,0.19985861163809623,2.5239229690585594
0.1582834463049311,3.3520347017695378,0.2082337129243713,2.536048209840902
0.16260467057093916,3.363504917539629,0.21687907267866408,2.5482171189573943
0.1680054730978801,3.380535567858165,0.22255304489589953,2.554519915186391
0.1752966292898073,3.403257657727597,0.2290377925171883,2.560953716417838
0.18069743181674824,3.420288308046133,,
0.18690828194217338,3.440142843973042,,
0.19690129500870934,3.465994497789897,,
0.2020318390676325,3.482981479774283,,
0.2117538658605815,3.5114823458629107,,
0.21688586553064299,3.5230835666354516,,
0.2209382869397716,3.529124352859548,,
0.22526242242805639,3.5298230462059497,,
0.2295851023052028,3.535907500764196,,
0.1923098122746835,3.454480613685656,,
0.20770362786816038,3.497362917821047,,
